Date,Open,High,Low,Close,Volume,Adjusted Close
1992-10-31,15.9,16.6,15.57,16.15,0.0,16.15
1992-11-30,11.38,13.67,11.38,13.01,0.0,13.01
1992-12-31,11.87,13.05,11.75,12.57,0.0,12.57
1993-01-31,12.49,13.16,12.42,12.42,0.0,12.42
1993-02-28,13.47,13.82,13.12,13.16,0.0,13.16
1993-03-31,12.29,12.9,12.19,12.53,0.0,12.53
1993-04-30,11.26,12.67,11.25,12.42,0.0,12.42
1993-05-31,13.21,13.86,13.12,13.47,0.0,13.47
1993-06-30,11.22,11.72,10.86,11.26,0.0,11.26
1993-07-31,11.54,12.06,10.34,11.73,0.0,11.73
1993-08-31,12.55,13.1,11.77,11.85,0.0,11.85
1993-09-30,13.08,13.23,12.54,12.99,0.0,12.99
1993-10-31,11.8,11.8,10.8,11.46,0.0,11.46
1993-11-30,14.12,14.63,13.48,13.76,0.0,13.76
1993-12-31,10.59,11.66,10.52,11.66,0.0,11.66
1994-01-31,10.01,11.2,10.01,10.63,0.0,10.63
1994-02-28,15.01,15.21,13.86,14.87,0.0,14.87
1994-03-31,18.5,21.940001,18.42,20.450001,0.0,20.450001
1994-04-30,13.05,14.34,13.05,13.77,0.0,13.77
1994-05-31,13.39,13.46,12.77,13.03,0.0,13.03
1994-06-30,13.92,15.43,13.86,14.97,0.0,14.97
1994-07-31,11.23,11.74,11.05,11.13,0.0,11.13
1994-08-31,11.18,12.43,11.18,11.97,0.0,11.97
1994-09-30,13.33,14.56,12.85,14.28,0.0,14.28
1994-10-31,14.73,15.17,14.2,14.56,0.0,14.56
1994-11-30,15.99,16.870001,15.53,15.95,0.0,15.95
1994-12-31,12.48,13.48,12.34,13.2,0.0,13.2
1995-01-31,12.12,12.25,11.77,11.96,0.0,11.96
1995-02-28,12.33,12.39,11.73,11.75,0.0,11.75
1995-03-31,13.6,13.79,12.95,13.37,0.0,13.37
1995-04-30,11.54,12.37,11.51,11.75,0.0,11.75
1995-05-31,12.49,12.96,12.05,12.85,0.0,12.85
1995-06-30,11.07,11.51,10.75,11.38,0.0,11.38
1995-07-31,13.22,13.87,13.22,13.49,0.0,13.49
1995-08-31,11.61,11.95,11.36,11.52,0.0,11.52
1995-09-30,12.2,13.25,12.09,12.74,0.0,12.74
1995-10-31,13.9,14.08,13.43,13.83,0.0,13.83
1995-11-30,10.9,11.92,10.9,11.58,0.0,11.58
1995-12-31,12.59,13.14,12.31,12.52,0.0,12.52
1996-01-31,12.37,13.04,12.35,12.53,0.0,12.53
1996-02-29,16.879999,17.389999,16.370001,17.040001,0.0,17.040001
1996-03-31,18.25,18.879999,18.030001,18.879999,0.0,18.879999
1996-04-30,15.75,16.01,15.71,15.83,0.0,15.83
1996-05-31,15.74,16.290001,15.5,16.07,0.0,16.07
1996-06-30,13.92,13.92,13.55,13.68,0.0,13.68
1996-07-31,19.879999,20.200001,19.27,19.459999,0.0,19.459999
1996-08-31,16.09,17.25,16.09,17.01,0.0,17.01
1996-09-30,16.33,17.08,16.209999,16.950001,0.0,16.950001
1996-10-31,18.139999,18.33,17.82,18.110001,0.0,18.110001
1996-11-30,16.76,18.26,16.68,17.139999,0.0,17.139999
1996-12-31,19.860001,20.92,19.799999,20.92,0.0,20.92
1997-01-31,19.469999,19.469999,19.469999,19.469999,0.0,19.469999
1997-02-28,21.549999,21.549999,20.76,21.1,0.0,21.1
1997-03-31,21.540001,22.440001,21.209999,22.139999,0.0,22.139999
1997-04-30,20.0,20.290001,19.200001,20.059999,0.0,20.059999
1997-05-31,19.48,19.48,18.85,19.190001,0.0,19.190001
1997-06-30,21.469999,21.91,21.34,21.530001,0.0,21.530001
1997-07-31,21.34,21.98,21.24,21.48,0.0,21.48
1997-08-31,24.52,25.059999,24.41,24.76,0.0,24.76
1997-09-30,22.32,22.91,22.049999,22.91,0.0,22.91
1997-10-31,35.080002,37.25,35.02,35.09,0.0,35.09
1997-11-30,28.040001,28.27,27.030001,27.43,0.0,27.43
1997-12-31,24.209999,24.52,23.59,24.01,0.0,24.01
1998-01-31,21.67,21.780001,21.049999,21.469999,0.0,21.469999
1998-02-28,18.66,18.940001,18.389999,18.549999,0.0,18.549999
1998-03-31,24.23,24.35,23.41,24.219999,0.0,24.219999
1998-04-30,21.16,21.370001,20.51,21.18,0.0,21.18
1998-05-31,19.93,21.530001,19.93,21.32,0.0,21.32
1998-06-30,19.85,19.879999,19.120001,19.709999,0.0,19.709999
1998-07-31,22.290001,25.120001,22.110001,24.799999,0.0,24.799999
1998-08-31,39.740002,45.02,38.799999,44.279999,0.0,44.279999
1998-09-30,37.16,41.150002,37.099998,40.950001,0.0,40.950001
1998-10-31,28.280001,28.709999,27.540001,28.049999,0.0,28.049999
1998-11-30,22.790001,26.01,22.790001,26.01,0.0,26.01
1998-12-31,23.74,24.76,23.67,24.42,0.0,24.42
1999-01-31,27.77,28.549999,25.9,26.25,0.0,26.25
1999-02-28,28.41,29.0,27.629999,27.879999,0.0,27.879999
1999-03-31,22.030001,23.299999,22.0,23.26,0.0,23.26
1999-04-30,24.41,26.469999,23.620001,25.07,0.0,25.07
1999-05-31,27.26,27.26,25.34,25.389999,0.0,25.389999
1999-06-30,22.99,23.34,20.799999,21.09,0.0,21.09
1999-07-31,23.809999,24.709999,23.290001,24.639999,0.0,24.639999
1999-08-31,24.41,25.540001,23.74,24.450001,0.0,24.450001
1999-09-30,26.15,26.469999,24.84,25.41,0.0,25.41
1999-10-31,20.629999,22.370001,20.299999,22.200001,0.0,22.200001
1999-11-30,23.809999,24.209999,22.860001,24.18,0.0,24.18
1999-12-31,25.030001,25.200001,24.450001,24.639999,0.0,24.639999
2000-01-31,26.780001,27.43,24.940001,24.950001,0.0,24.950001
2000-02-29,23.76,23.879999,23.24,23.370001,0.0,23.370001
2000-03-31,24.780001,24.969999,23.440001,24.110001,0.0,24.110001
2000-04-30,25.620001,26.799999,25.610001,26.200001,0.0,26.200001
2000-05-31,24.09,24.09,23.23,23.65,0.0,23.65
2000-06-30,19.68,19.780001,19.389999,19.540001,0.0,19.540001
2000-07-31,20.98,21.17,20.540001,20.74,0.0,20.74
2000-08-31,17.440001,17.450001,16.639999,16.84,0.0,16.84
2000-09-30,19.879999,20.57,19.799999,20.57,0.0,20.57
2000-10-31,24.77,24.870001,23.370001,23.629999,0.0,23.629999
2000-11-30,28.639999,31.110001,28.43,29.65,0.0,29.65
2000-12-31,26.35,26.959999,26.32,26.85,0.0,26.85
2001-01-31,22.940001,23.02,21.98,22.02,0.0,22.02
2001-02-28,26.370001,28.82,26.049999,28.35,0.0,28.35
2001-03-31,28.76,29.32,28.299999,28.639999,0.0,28.639999
2001-04-30,24.209999,25.74,23.9,25.48,0.0,25.48
2001-05-31,22.959999,23.16,22.33,22.639999,0.0,22.639999
2001-06-30,19.9,19.9,18.83,19.059999,0.0,19.059999
2001-07-31,22.309999,22.450001,20.790001,21.620001,0.0,21.620001
2001-08-31,25.309999,25.469999,24.41,24.92,0.0,24.92
2001-09-30,33.080002,33.080002,31.74,31.93,0.0,31.93
2001-10-31,33.119999,33.59,32.27,33.560001,0.0,33.560001
2001-11-30,25.049999,25.299999,23.6,23.84,0.0,23.84
2001-12-31,22.5,23.799999,22.459999,23.799999,0.0,23.799999
2002-01-31,22.450001,22.700001,21.09,21.09,0.0,21.09
2002-02-28,21.120001,21.59,20.709999,21.59,0.0,21.59
2002-03-31,17.23,17.51,17.02,17.4,0.0,17.4
2002-04-30,24.030001,24.030001,21.639999,21.91,0.0,21.91
2002-05-31,20.26,20.26,19.43,19.98,0.0,19.98
2002-06-30,25.74,25.879999,24.879999,25.4,0.0,25.4
2002-07-31,32.779999,33.68,32.029999,32.029999,0.0,32.029999
2002-08-31,33.639999,33.639999,31.93,32.639999,0.0,32.639999
2002-09-30,41.07,41.860001,38.889999,39.689999,0.0,39.689999
2002-10-31,31.57,31.57,29.690001,31.139999,0.0,31.139999
2002-11-30,27.1,27.700001,26.84,27.5,0.0,27.5
2002-12-31,29.08,29.620001,28.6,28.620001,0.0,28.620001
2003-01-31,31.15,31.66,30.610001,31.17,0.0,31.17
2003-02-28,29.84,29.84,29.059999,29.629999,0.0,29.629999
2003-03-31,29.950001,30.209999,28.57,29.15,0.0,29.15
2003-04-30,21.040001,21.559999,20.870001,21.209999,0.0,21.209999
2003-05-31,19.83,19.83,19.440001,19.469999,0.0,19.469999
2003-06-30,19.309999,19.629999,19.209999,19.52,0.0,19.52
2003-07-31,18.82,19.58,18.360001,19.49,0.0,19.49
2003-08-31,18.530001,18.75,18.52,18.629999,0.0,18.629999
2003-09-30,22.040001,23.26,22.030001,22.719999,0.0,22.719999
2003-10-31,16.110001,16.190001,15.79,16.1,0.0,16.1
2003-11-30,16.51,16.620001,16.16,16.32,0.0,16.32
2003-12-31,17.49,18.860001,17.41,18.309999,0.0,18.309999
2004-01-31,16.549999,17.35,16.549999,16.629999,0.0,16.629999
2004-02-29,13.8,14.77,13.8,14.55,0.0,14.55
2004-03-31,16.33,16.959999,16.23,16.74,0.0,16.74
2004-04-30,16.27,17.23,16.139999,17.190001,0.0,17.190001
2004-05-31,15.44,15.65,15.39,15.5,0.0,15.5
2004-06-30,15.27,15.73,14.25,14.34,0.0,14.34
2004-07-31,15.85,15.89,15.27,15.32,0.0,15.32
2004-08-31,15.64,15.85,15.28,15.29,0.0,15.29
2004-09-30,13.49,13.67,13.2,13.34,0.0,13.34
2004-10-31,15.83,16.290001,14.96,16.27,0.0,16.27
2004-11-30,13.27,13.38,13.07,13.24,0.0,13.24
2004-12-31,12.42,13.29,12.42,13.29,0.0,13.29
2005-01-31,13.63,13.63,12.79,12.82,0.0,12.82
2005-02-28,11.89,12.5,11.73,12.08,0.0,12.08
2005-03-31,13.71,14.1,13.57,14.02,0.0,14.02
2005-04-30,15.75,16.92,15.26,15.31,0.0,15.31
2005-05-31,12.69,13.45,12.67,13.29,0.0,13.29
2005-06-30,11.72,12.1,11.5,12.04,0.0,12.04
2005-07-31,10.24,11.73,10.24,11.57,0.0,11.57
2005-08-31,13.37,13.63,12.56,12.6,0.0,12.6
2005-09-30,12.42,12.44,11.92,11.92,0.0,11.92
2005-10-31,14.04,15.39,13.93,15.32,0.0,15.32
2005-11-30,11.84,12.13,11.55,12.06,0.0,12.06
2005-12-31,11.96,12.07,11.55,12.07,0.0,12.07
2006-01-31,12.45,13.06,12.45,12.95,0.0,12.95
2006-02-28,11.74,12.36,11.71,12.34,0.0,12.34
2006-03-31,11.42,11.65,11.27,11.39,0.0,11.39
2006-04-30,12.13,12.13,11.42,11.59,0.0,11.59
2006-05-31,18.09,18.09,16.41,16.440001,0.0,16.440001
2006-06-30,12.9,13.47,12.74,13.08,0.0,13.08
2006-07-31,15.01,15.13,14.86,14.95,0.0,14.95
2006-08-31,12.23,12.33,12.07,12.31,0.0,12.31
2006-09-30,11.75,12.1,11.72,11.98,0.0,11.98
2006-10-31,11.1,11.39,10.99,11.1,0.0,11.1
2006-11-30,10.88,11.3,10.58,10.91,0.0,10.91
2006-12-31,10.95,11.65,10.71,11.56,0.0,11.56
2007-01-31,11.09,11.26,10.27,10.42,0.0,10.42
2007-02-28,17.209999,17.290001,14.5,15.42,0.0,15.42
2007-03-31,15.14,15.82,14.14,14.64,0.0,14.64
2007-04-30,12.9,14.31,12.45,14.22,0.0,14.22
2007-05-31,12.78,13.18,12.62,13.05,0.0,13.05
2007-06-30,15.25,17.129999,14.62,16.23,0.0,16.23
2007-07-31,20.08,23.93,19.68,23.52,0.0,23.52
2007-08-31,23.530001,24.07,22.469999,23.379999,0.0,23.379999
2007-09-30,17.23,18.219999,16.91,18.0,0.0,18.0
2007-10-31,20.530001,22.09,18.299999,18.530001,0.0,18.530001
2007-11-30,22.67,23.389999,22.0,22.870001,0.0,22.870001
2007-12-31,21.870001,22.75,21.790001,22.5,0.0,22.5
2008-01-31,28.780001,28.809999,25.450001,26.200001,0.0,26.200001
2008-02-29,23.540001,26.91,23.540001,26.540001,0.0,26.540001
2008-03-31,25.709999,26.77,25.35,25.610001,0.0,25.610001
2008-04-30,20.24,20.809999,19.690001,20.790001,0.0,20.790001
2008-05-31,18.139999,18.209999,17.559999,17.83,0.0,17.83
2008-06-30,24.25,24.26,23.27,23.950001,0.0,23.950001
2008-07-31,22.33,22.959999,21.450001,22.940001,0.0,22.940001
2008-08-31,19.43,20.709999,19.43,20.65,0.0,20.65
2008-09-30,43.77,43.799999,38.860001,39.389999,0.0,39.389999
2008-10-31,62.93,65.849998,56.73,59.889999,0.0,59.889999
2008-11-30,56.02,56.82,50.5,55.279999,0.0,55.279999
2008-12-31,41.630001,41.630001,37.959999,40.0,0.0,40.0
2009-01-31,42.630001,45.529999,42.09,44.84,0.0,44.84
2009-02-28,44.66,47.34,44.459999,46.349998,0.0,46.349998
2009-03-31,45.540001,45.540001,42.27,44.139999,0.0,44.139999
2009-04-30,36.09,36.709999,34.5,36.5,0.0,36.5
2009-05-31,31.67,31.67,28.85,28.92,0.0,28.92
2009-06-30,25.360001,27.379999,25.02,26.35,0.0,26.35
2009-07-31,25.4,26.219999,24.93,25.92,0.0,25.92
2009-08-31,24.76,27.01,24.76,26.01,0.0,26.01
2009-09-30,25.190001,26.450001,24.76,25.610001,0.0,25.610001
2009-10-31,24.76,31.59,24.76,30.690001,0.0,30.690001
2009-11-30,24.950001,25.57,24.190001,24.51,0.0,24.51
2009-12-31,19.959999,21.83,19.889999,21.68,0.0,21.68
2010-01-31,23.73,25.030001,22.110001,24.620001,0.0,24.620001
2010-02-28,19.879999,20.530001,19.32,19.5,0.0,19.5
2010-03-31,17.66,17.92,17.290001,17.59,0.0,17.59
2010-04-30,18.75,22.389999,18.41,22.049999,0.0,22.049999
2010-05-31,30.23,33.299999,29.530001,32.07,0.0,32.07
2010-06-30,33.950001,34.630001,31.74,34.540001,0.0,34.540001
2010-07-31,25.469999,27.32,23.35,23.5,0.0,23.5
2010-08-31,27.58,27.83,25.93,26.049999,0.0,26.049999
2010-09-30,22.85,24.52,22.389999,23.700001,0.0,23.700001
2010-10-31,21.200001,21.4,20.860001,21.200001,0.0,21.200001
2010-11-30,23.27,23.790001,22.42,23.540001,0.0,23.540001
2010-12-31,17.91,18.129999,17.75,17.75,0.0,17.75
2011-01-31,19.610001,19.959999,17.1,19.530001,0.0,19.530001
2011-02-28,19.120001,19.27,18.139999,18.35,0.0,18.35
2011-03-31,17.9,17.950001,17.41,17.74,0.0,17.74
2011-04-30,14.56,14.99,14.49,14.75,0.0,14.75
2011-05-31,15.85,16.5,15.15,15.45,0.0,15.45
2011-06-30,16.67,16.77,15.88,16.52,0.0,16.52
2011-07-31,25.280001,25.940001,23.65,25.25,0.0,25.25
2011-08-31,31.200001,32.529999,30.16,31.620001,0.0,31.620001
2011-09-30,40.93,42.990002,39.880001,42.959999,0.0,42.959999
2011-10-31,27.09,29.969999,27.01,29.959999,0.0,29.959999
2011-11-30,27.719999,28.5,27.030001,27.799999,0.0,27.799999
2011-12-31,22.860001,23.459999,22.65,23.4,0.0,23.4
2012-01-31,19.07,19.84,18.129999,19.440001,0.0,19.440001
2012-02-29,17.799999,18.75,17.530001,18.43,0.0,18.43
2012-03-31,14.88,15.98,14.67,15.5,0.0,15.5
2012-04-30,17.040001,17.41,16.92,17.15,0.0,17.15
2012-05-31,23.83,25.459999,22.780001,24.059999,0.0,24.059999
2012-06-30,17.52,18.309999,16.870001,17.08,0.0,17.08
2012-07-31,18.4,19.09,18.26,18.93,0.0,18.93
2012-08-31,17.25,18.040001,16.559999,17.469999,0.0,17.469999
2012-09-30,15.23,15.77,14.95,15.73,0.0,15.73
2012-10-31,17.68,18.84,17.559999,18.6,0.0,18.6
2012-11-30,15.26,16.17,14.89,15.87,0.0,15.87
2012-12-31,22.139999,22.719999,17.879999,18.02,0.0,18.02
2013-01-31,14.43,14.43,14.04,14.38,0.0,14.38
2013-02-28,15.0,15.6,14.16,15.51,0.0,15.51
2013-03-31,12.91,13.07,12.54,12.7,0.0,12.7
2013-04-30,13.71,14.28,13.51,13.52,0.0,13.52
2013-05-31,15.02,16.35,14.36,16.299999,0.0,16.299999
2013-06-30,17.25,17.690001,16.190001,16.860001,0.0,16.860001
2013-07-31,13.55,13.83,12.94,13.45,0.0,13.45
2013-08-31,16.75,17.809999,16.700001,17.01,0.0,17.01
2013-09-30,17.49,17.49,16.16,16.6,0.0,16.6
2013-10-31,13.83,14.02,13.28,13.75,0.0,13.75
2013-11-30,13.06,13.78,12.93,13.7,0.0,13.7
2013-12-31,13.43,14.35,13.38,13.72,0.0,13.72
2014-01-31,18.709999,18.99,17.27,18.41,0.0,18.41
2014-02-28,14.22,14.79,13.49,14.0,0.0,14.0
2014-03-31,13.88,14.16,13.57,13.88,0.0,13.88
2014-04-30,14.05,14.18,13.34,13.41,0.0,13.41
2014-05-31,11.66,11.7,11.32,11.4,0.0,11.4
2014-06-30,11.75,11.81,11.3,11.57,0.0,11.57
2014-07-31,14.35,17.110001,14.26,16.950001,0.0,16.950001
2014-08-31,11.86,12.44,11.78,12.09,0.0,12.09
2014-09-30,15.49,16.43,15.18,16.309999,0.0,16.309999
2014-10-31,13.84,14.83,13.72,14.03,0.0,14.03
2014-11-30,12.64,13.49,12.36,13.33,0.0,13.33
2014-12-31,15.91,19.91,15.86,19.200001,0.0,19.200001
2015-01-31,20.23,22.18,19.24,20.969999,0.0,20.969999
2015-02-28,14.07,14.17,13.29,13.34,0.0,13.34
2015-03-31,14.97,15.74,14.33,15.29,0.0,15.29
2015-04-30,13.89,15.29,12.49,14.55,0.0,14.55
2015-05-31,13.59,14.43,13.4,13.84,0.0,13.84
2015-06-30,17.6,19.799999,17.49,18.23,0.0,18.23
2015-07-31,12.03,12.63,11.82,12.12,0.0,12.12
2015-08-31,27.030001,29.370001,26.629999,28.43,0.0,28.43
2015-09-30,24.639999,25.879999,23.25,24.5,0.0,24.5
2015-10-31,14.6,15.39,14.0,15.07,0.0,15.07
2015-11-30,15.55,16.57,15.52,16.129999,0.0,16.129999
2015-12-31,17.969999,20.389999,17.51,18.209999,0.0,18.209999
2016-01-31,21.59,21.74,19.5,20.200001,0.0,20.200001
2016-02-29,20.49,20.809999,18.379999,20.549999,0.0,20.549999
2016-03-31,13.73,14.28,13.49,13.95,0.0,13.95
2016-04-30,15.21,17.09,14.91,15.7,0.0,15.7
2016-05-31,13.94,15.0,13.45,14.19,0.0,14.19
2016-06-30,16.91,16.99,15.29,15.63,0.0,15.63
2016-07-31,12.85,12.9,11.77,11.87,0.0,11.87
2016-08-31,13.14,14.34,12.97,13.42,0.0,13.42
2016-09-30,14.91,15.2,12.53,13.29,0.0,13.29
2016-10-31,16.309999,17.629999,16.25,17.059999,0.0,17.059999
2016-11-30,12.6,13.42,12.23,13.33,0.0,13.33
2016-12-31,13.2,14.68,13.05,14.04,0.0,14.04
2017-01-31,12.29,12.99,11.79,11.99,0.0,11.99
2017-02-28,12.19,12.96,12.13,12.92,0.0,12.92
2017-03-31,11.61,12.54,11.5,12.37,0.0,12.37
2017-04-30,15.16,16.16,14.84,15.77,0.0,15.77
