"Real GDP by metropolitan area (millions of chained 2009 dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",14416,14827,15445,16618,15879,16473,17643,16873,17794,18065,17752,18401,20274,20630,21031
"18700","Corvallis, OR (Metropolitan Statistical Area)",2385,2729,3098,3700,3687,4242,4460,5068,5255,5466,5382,4809,4417,4274,4243
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",8612,10504,10987,11571,13006,13350,13018,11906,11450,10814,11105,10948,10972,11047,11378
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",2476,2548,2570,2561,2657,2665,2608,2620,2686,2786,2793,2760,2709,2702,2722
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",302192,311168,310734,324661,334225,351444,361754,366099,357123,368466,382954,402512,415918,433423,448873
"19140","Dalton, GA (Metropolitan Statistical Area)",5137,5278,5387,6098,6284,6240,6333,5756,5306,4893,4972,5034,5247,5371,5359
"19180","Danville, IL (Metropolitan Statistical Area)",2427,2424,2570,2634,2609,2698,2582,2569,2491,2526,2537,2551,2570,2515,2432
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",4118,4260,4419,4813,5019,5255,5499,5660,5556,5579,5617,5635,5808,5909,6090
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",14964,15466,15934,16760,17176,17297,17487,17590,16926,17466,17991,18475,18053,17757,17520
"19380","Dayton, OH (Metropolitan Statistical Area)",35064,35615,35871,36746,37036,37575,36888,35734,33284,33857,34953,34933,34497,35152,35038
"19460","Decatur, AL (Metropolitan Statistical Area)",4474,4408,4669,5050,4977,5044,5106,5055,4868,4952,4773,4868,4898,4935,4774
